 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
whsh ---> Test Error: 0.03225806451612903
