 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 0.3333333333333333, label is 0.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.6666666666666666, label is 0.0
 score is 0.3333333333333333, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 0.3333333333333333, label is 0.0
 score is 1.0, label is 1.0
 score is 1.0, label is 1.0
 score is 0.0, label is 0.0
 score is 0.0, label is 0.0
 score is 1.0, label is 1.0
whsh ---> Test Mean Squared Error: 0.02592592592592593
